date,open,close,high,low,volume,num_transactions
,1.84,1.87,1.91,1.84,68051,117
,1.87,1.84,1.87,1.79,494329,363
,1.84,1.82,1.83,1.78,80544,118
,1.82,1.82,1.82,1.78,158369,147
,1.82,1.8,1.82,1.78,121774,116
,1.8,1.78,1.81,1.78,120898,118
,1.78,1.82,1.84,1.75,538558,296
,1.82,1.82,1.83,1.79,33224,79
,1.82,1.8,1.82,1.78,58194,94
,1.8,1.79,1.81,1.78,32870,70
,1.79,1.79,1.8,1.77,75590,113
,1.79,1.78,1.79,1.76,130600,134
,1.78,1.82,1.82,1.77,231375,226
,1.82,1.78,1.82,1.78,56578,100
,1.78,1.8,1.81,1.78,61066,95
,1.8,1.8,1.81,1.78,122728,138
,1.8,1.79,1.8,1.79,16238,32
,1.79,1.8,1.81,1.79,64714,83
,1.94,1.95,1.98,1.93,65803,111
,1.95,1.89,1.95,1.89,4376388,146
,1.89,1.9,1.91,1.9,138057,89
,1.9,1.89,1.9,1.87,32132,100
,1.89,1.87,1.91,1.85,58338,116
,1.87,1.86,1.87,1.83,367685,80
,1.86,1.9,1.91,1.84,218328,143
,1.9,1.89,1.9,1.88,38717,42
,1.89,1.89,1.9,1.86,50695,57
,1.89,1.89,1.89,1.85,27503,31
,1.89,1.88,1.9,1.85,89012,89
,1.88,1.88,1.88,1.86,48062,76
